feat_list,hyper_param,fold,avg,std
1,10,19,289.34551297820764,283.30923336919705
1,10,21,283.46515799230866,290.23493438607943
1,11,3,379.3077079195559,211.9629694680686
1,11,5,362.88307575761036,198.09139098938294
1,11,7,328.08991351135813,273.32856430571366
1,11,9,335.3257381242269,246.4503639563394
1,11,11,320.12336289458705,262.22076716435083
1,11,13,311.5807468419462,274.03689902659056
1,11,15,307.74603165911236,278.999666615226
1,11,17,296.2550475013744,290.045145412442
1,11,19,294.90104154587436,289.9791344958251
1,11,21,290.74951976066455,296.35032305022963
1,12,3,382.44910628839165,211.67609229863075
1,12,5,366.81086680040926,200.28795810422574
1,12,7,329.63119983162466,274.1808047068897
1,12,9,335.8790325613538,249.0907064867628
1,12,11,321.7929689149168,263.65891892086836
1,12,13,312.9177235927757,277.5530688187503
1,12,15,309.7154519461685,282.36745506416315
1,12,17,300.12104591021085,292.22548241325507
1,12,19,297.34319919569765,293.1243995349958
1,12,21,292.30739854776544,299.7496216344188
1,13,3,383.9917218219075,213.17618979959926
1,13,5,367.83955446435874,199.9579898206768
1,13,7,330.5054905439858,276.0702944054975
1,13,9,336.81475810212305,251.6231284031831
1,13,11,324.144399985712,266.6816155997778
1,13,13,313.88008762037487,278.66529405873496
1,13,15,309.98645757896276,283.27777497510436
1,13,17,301.6845062668972,294.35496452490645
1,13,19,299.6514983849505,294.4553532811049
1,13,21,292.8454252992408,301.81089797262104
1,14,3,385.85587693701456,210.6268930686427
1,14,5,368.1372554105638,205.19143812872875
1,14,7,330.8137495135598,279.0571728117304
1,14,9,338.45212051984026,253.4498497599279
1,14,11,325.885548757802,266.5546900673546
1,14,13,316.78445068314164,280.44041308776167
1,14,15,312.3744348394637,285.2338314795206
1,14,17,301.4208851541926,296.76052518040603
1,14,19,300.3672723396355,296.3910554010046
1,14,21,293.8013277993402,303.5999224392226
1,15,3,384.38012909142,213.9781572998088
1,15,5,373.35193506896775,203.95801281901902
1,15,7,331.95617766095376,278.21896505319336
1,15,9,338.4935732510569,255.5887722103159
1,15,11,326.7140636700012,270.2046381685389
